Country,Nationality,Continent,Region
Afghanistan,Afghan,Asia,Southern Asia
≈land Islands,√Öland Island,Europe,Northern Europe
Albania,Albanian,Europe,Southern Europe
,Sahrawi,Africa,Northern Africa
Algeria,Algerian,Africa,Northern Africa
American Samoa,American Samoan,Oceania,Polynesia
Andorra,Andorran,Europe,Southern Europe
Angola,Angolan,Africa,Middle Africa
Anguilla,Anguillan,Americas,Caribbean
Antarctica,Antarctic,Antarctica,Antarctica
Antigua and Barbuda,Antiguan or Barbudan,Americas,Caribbean
Argentina,Argentine,Americas,South America
Armenia,Armenian,Asia,Western Asia
Aruba,Aruban,Americas,Caribbean
Australia,Australian,Oceania,Australia and New Zealand
Austria,Austrian,Europe,Western Europe
Azerbaijan,Azerbaijani,Asia,Western Asia
Bahamas,Bahamian,Americas,Caribbean
Bahrain,Bahraini,Asia,Western Asia
Bangladesh,Bangladeshi,Asia,Southern Asia
Barbados,Barbadian,Americas,Caribbean
Belarus,Belarusian,Europe,Eastern Europe
Belgium,Belgian,Europe,Western Europe
Belize,Belizean,Americas,Central America
Benin,Beninese,Africa,Western Africa
Bermuda,"Bermudian, Bermudan",Americas,Northern America
Bhutan,Bhutanese,Asia,Southern Asia
Bolivia (Plurinational State of),Bolivian,Americas,South America
"Bonaire, Sint Eustatius and Saba",Bonaire,Americas,Caribbean
Herzegovina,Herzegovinian,Europe,Southern Europe
Bosnia,Bosnian,Europe,Southern Europe
Botswana,"Motswana, Botswanan",Africa,Southern Africa
Bouvet Island,Bouvet Island,,
Brazil,Brazilian,Americas,South America
British Indian Ocean Territory,BIOT,,
Brunei Darussalam,Bruneian,Asia,South-Eastern Asia
Bulgaria,Bulgarian,Europe,Eastern Europe
Burkina Faso,BurkinabÈ,Africa,Western Africa
Burundi,Burundian,Africa,Eastern Africa
Cambodia,Cambodian,Asia,South-Eastern Asia
Cameroon,Cameroonian,Africa,Middle Africa
Canada,Canadian Inuit,Americas,Northern America
Canada,Canadian,Americas,Northern America
Cabo Verde,Cabo Verdean,Africa,Western Africa
Cayman Islands,Caymanian,Americas,Caribbean
Central African Republic,Central African,Africa,Middle Africa
Chad,Chadian,Africa,Middle Africa
Chile,Chilean,Americas,South America
China,Chinese,Asia,Eastern Asia
Christmas Island,Christmas Island,,
Cocos (Keeling) Islands,Cocos Island,,
Colombia,Colombian,Americas,South America
Comoros,"Comoran, Comorian",Africa,Eastern Africa
Congo,Congolese,Africa,Middle Africa
Congo (Democratic Republic of the),Congolese,Africa,Middle Africa
Cook Islands,Cook Island,Oceania,Polynesia
Costa Rica,Costa Rican,Americas,Central America
CÙte d'Ivoire,Ivorian,Africa,Western Africa
Croatia,Croatian,Europe,Southern Europe
Cuba,Cuban,Americas,Caribbean
CuraÁao,Cura√ßaoan,Americas,Caribbean
Cyprus,Cypriot,Asia,Western Asia
Czech Republic,Czech,Europe,Eastern Europe
Denmark,Danish,Europe,Northern Europe
Djibouti,Djiboutian,Africa,Eastern Africa
Dominica,Dominican,Americas,Caribbean
Dominican Republic,Dominican,Americas,Caribbean
Ecuador,Ecuadorian,Americas,South America
Egypt,Egyptian,Africa,Northern Africa
El Salvador,Salvadoran,Americas,Central America
Equatorial Guinea,"Equatorial Guinean, Equatoguinean",Africa,Middle Africa
Eritrea,Eritrean,Africa,Eastern Africa
Estonia,Estonian,Europe,Northern Europe
Ethiopia,Ethiopian,Africa,Eastern Africa
Falkland Islands (Malvinas),Falkland Island,Americas,South America
Faroe Islands,Faroese,Europe,Northern Europe
Fiji,Fijian,Oceania,Melanesia
Finland,Finnish,Europe,Northern Europe
France,French,Europe,Western Europe
French Guiana,French Guianese,Americas,South America
French Polynesia,French Polynesian,Oceania,Polynesia
French Southern Territories,French Southern Territories,,
Gabon,Gabonese,Africa,Middle Africa
Gambia,Gambian,Africa,Western Africa
Georgia,Georgian,Asia,Western Asia
Germany,German,Europe,Western Europe
Ghana,Ghanaian,Africa,Western Africa
Gibraltar,Gibraltar,Europe,Southern Europe
Greece,Greek,Europe,Southern Europe
Greenland,Greenlandic,Americas,Northern America
Grenada,Grenadian,Americas,Caribbean
Guadeloupe,Guadeloupe,Americas,Caribbean
Guam,"Guamanian, Guambat",Oceania,Micronesia
Guatemala,Guatemalan,Americas,Central America
Guernsey,Channel Island,Europe,Northern Europe
Guinea,Guinean,Africa,Western Africa
Guinea-Bissau,Bissau-Guinean,Africa,Western Africa
Guyana,Guyanese,Americas,South America
Haiti,Haitian,Americas,Caribbean
Heard Island and McDonald Islands,Heard Island or McDonald Islands,,
Holy See,Vatican,Europe,Southern Europe
Honduras,Honduran,Americas,Central America
Hong Kong,"Hong Kong, Hong Kongese",Asia,Eastern Asia
Hungary,Hungarian,Europe,Eastern Europe
Iceland,Icelandic,Europe,Northern Europe
India,Indian,Asia,Southern Asia
Indonesia,Indonesian,Asia,South-Eastern Asia
Iran (Islamic Republic of),Iranian,Asia,Southern Asia
Iraq,Iraqi,Asia,Western Asia
Ireland,Irish,Europe,Northern Europe
Isle of Man,Manx,Europe,Northern Europe
Israel,Israeli,Asia,Western Asia
Italy,Italian,Europe,Southern Europe
Jamaica,Jamaican,Americas,Caribbean
Japan,Japanese,Asia,Eastern Asia
Jersey,Channel Island,Europe,Northern Europe
Jordan,Jordanian,Asia,Western Asia
Kazakhstan,"Kazakhstani, Kazakh",Asia,Central Asia
Kenya,Kenyan,Africa,Eastern Africa
Kiribati,I-Kiribati,Oceania,Micronesia
Korea (Democratic People's Republic of),Korean,Asia,Eastern Asia
Korea (Republic of),Korean,Asia,Eastern Asia
Kuwait,Kuwaiti,Asia,Western Asia
Kyrgyzstan,Kyrgyz,Asia,Central Asia
Lao People's Democratic Republic,"Lao, Laotian",Asia,South-Eastern Asia
Latvia,Latvian,Europe,Northern Europe
Lebanon,Lebanese,Asia,Western Asia
Lesotho,Basotho,Africa,Southern Africa
Liberia,Liberian,Africa,Western Africa
Libya,Libyan,Africa,Northern Africa
Liechtenstein,Liechtenstein,Europe,Western Europe
Lithuania,Lithuanian,Europe,Northern Europe
Luxembourg,Luxembourger,Europe,Western Europe
Macao,"Macanese, Chinese",Asia,Eastern Asia
Macedonia (the former Yugoslav Republic of),Macedonian,Europe,Southern Europe
Madagascar,Malagasy,Africa,Eastern Africa
Malawi,Malawian,Africa,Eastern Africa
Malaysia,Malaysian,Asia,South-Eastern Asia
Maldives,Maldivian,Asia,Southern Asia
Mali,Malian,Africa,Western Africa
Malta,Maltese,Europe,Southern Europe
Marshall Islands,Marshallese,Oceania,Micronesia
Martinique,"Martiniquais, Martinican",Americas,Caribbean
Mauritania,Mauritanian,Africa,Western Africa
Mauritius,Mauritian,Africa,Eastern Africa
Mayotte,Mahoran,Africa,Eastern Africa
Mexico,Mexican,Americas,Central America
Micronesia (Federated States of),Micronesian,Oceania,Micronesia
Moldova (Republic of),Moldovan,Europe,Eastern Europe
Monaco,"Mon√©gasque, Monacan",Europe,Western Europe
Mongolia,Mongolian,Asia,Eastern Asia
Montenegro,Montenegrin,Europe,Southern Europe
Montserrat,Montserratian,Americas,Caribbean
Morocco,Moroccan,Africa,Northern Africa
Mozambique,Mozambican,Africa,Eastern Africa
Myanmar,Burmese,Asia,South-Eastern Asia
Namibia,Namibian,Africa,Southern Africa
Nauru,Nauruan,Oceania,Micronesia
Nepal,"Nepali, Nepalese",Asia,Southern Asia
Netherlands,Dutch,Europe,Western Europe
New Caledonia,New Caledonian,Oceania,Melanesia
New Zealand,New Zealander,Oceania,Australia and New Zealand
Nicaragua,Nicaraguan,Americas,Central America
Niger,Nigerien,Africa,Western Africa
Nigeria,Nigerian,Africa,Western Africa
Niue,Niuean,Oceania,Polynesia
Norfolk Island,Norfolk Island,Oceania,Australia and New Zealand
Northern Mariana Islands,Northern Marianan,Oceania,Micronesia
Norway,Norwegian,Europe,Northern Europe
Oman,Omani,Asia,Western Asia
Pakistan,Pakistani,Asia,Southern Asia
Palau,Palauan,Oceania,Micronesia
"Palestine, State of",Palestinian,Asia,Western Asia
Panama,Panamanian,Americas,Central America
Papua New Guinea,"Papua New Guinean, Papuan",Oceania,Melanesia
Paraguay,Paraguayan,Americas,South America
Peru,Peruvian,Americas,South America
Philippines,Filipino,Asia,South-Eastern Asia
Pitcairn,Pitcairn Island,Oceania,Polynesia
Poland,Polish,Europe,Eastern Europe
Portugal,Portuguese,Europe,Southern Europe
Puerto Rico,Puerto Rican,Americas,Caribbean
Qatar,Qatari,Asia,Western Asia
RÈunion,"R√©unionese, R√©unionnais",Africa,Eastern Africa
Romania,Romanian,Europe,Eastern Europe
Russian Federation,Russian,Europe,Eastern Europe
Rwanda,Rwandan,Africa,Eastern Africa
Saint BarthÈlemy,Barth√©lemois,Americas,Caribbean
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Africa,Western Africa
Saint Kitts and Nevis,Kittitian or Nevisian,Americas,Caribbean
Saint Lucia,Saint Lucian,Americas,Caribbean
Saint Martin (French part),Saint-Martinoise,Americas,Caribbean
Saint Pierre and Miquelon,Saint-Pierrais or Miquelonnais,Americas,Northern America
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian",Americas,Caribbean
Samoa,Samoan,Oceania,Polynesia
San Marino,Sammarinese,Europe,Southern Europe
Sao Tome and Principe,S√£o Tom√©an,Africa,Middle Africa
Saudi Arabia,"Saudi, Saudi Arabian",Asia,Western Asia
Senegal,Senegalese,Africa,Western Africa
Serbia,Serbian,Europe,Southern Europe
Seychelles,Seychellois,Africa,Eastern Africa
Sierra Leone,Sierra Leonean,Africa,Western Africa
Singapore,Singaporean,Asia,South-Eastern Asia
Sint Maarten (Dutch part),Sint Maarten,Americas,Caribbean
Slovakia,Slovak,Europe,Eastern Europe
Slovenia,Slovenian,Europe,Southern Europe
Solomon Islands,Solomon Island,Oceania,Melanesia
Somalia,"Somali, Somalian",Africa,Eastern Africa
South Africa,South African,Africa,Southern Africa
South Georgia and the South Sandwich Islands,South Georgia or South Sandwich Islands,,
South Sudan,South Sudanese,Africa,Eastern Africa
,Catalan,Europe,Southern Europe
Spain,Spanish,Europe,Southern Europe
Sri Lanka,Sri Lankan,Asia,Southern Asia
Sudan,Sudanese,Africa,Northern Africa
Suriname,Surinamese,Americas,South America
Svalbard and Jan Mayen,Svalbard,Europe,Northern Europe
Swaziland,Swazi,Africa,Southern Africa
Sweden,Swedish,Europe,Northern Europe
Switzerland,Swiss,Europe,Western Europe
Syrian Arab Republic,Syrian,Asia,Western Asia
"Taiwan, Province of China",Taiwanese,Asia,Eastern Asia
Tajikistan,Tajikistani,Asia,Central Asia
"Tanzania, United Republic of",Tanzanian,Africa,Eastern Africa
Thailand,Thai,Asia,South-Eastern Asia
Timor-Leste,Timorese,Asia,South-Eastern Asia
Togo,Togolese,Africa,Western Africa
Tokelau,Tokelauan,Oceania,Polynesia
Tonga,Tongan,Oceania,Polynesia
Trinidad and Tobago,Trinidadian or Tobagonian,Americas,Caribbean
Tunisia,Tunisian,Africa,Northern Africa
Turkey,Turkish,Asia,Western Asia
Turkmenistan,Turkmen,Asia,Central Asia
Turks and Caicos Islands,Turks and Caicos Island,Americas,Caribbean
Tuvalu,Tuvaluan,Oceania,Polynesia
Uganda,Ugandan,Africa,Eastern Africa
Ukraine,Ukrainian,Europe,Eastern Europe
United Arab Emirates,Emirati,Asia,Western Asia
United Kingdom of Great Britain and Northern Ireland,Scottish,Europe,Northern Europe
United Kingdom of Great Britain and Northern Ireland,British,Europe,Northern Europe
,Native American,Americas,Northern America
United States of America,American,Americas,Northern America
Uruguay,Uruguayan,Americas,South America
Uzbekistan,"Uzbekistani, Uzbek",Asia,Central Asia
Vanuatu,"Ni-Vanuatu, Vanuatuan",Oceania,Melanesia
Venezuela (Bolivarian Republic of),Venezuelan,Americas,South America
Viet Nam,Vietnamese,Asia,South-Eastern Asia
Virgin Islands (British),British Virgin Island,Americas,Caribbean
Virgin Islands (U.S.),U.S. Virgin Island,Americas,Caribbean
Wales,Welsh,Europe,Northern Europe
Wallis and Futuna,"Wallis and Futuna, Wallisian or Futunan",Oceania,Polynesia
Western Sahara,"Sahrawi, Sahrawian, Sahraouian",Africa,Northern Africa
Yemen,Yemeni,Asia,Western Asia
Zambia,Zambian,Africa,Eastern Africa
Zimbabwe,Zimbabwean,Africa,Eastern Africa
